nom_categorie        ,nom_produit                                              ,prix_produit     ,reference_produit ,url_produit
Panneaux             ,Treccia Chêne Semi-Massif Naturalizzato                  ,179.9€ HT/m²     ,Ref: 02071220020  ,https://venessens-parquet.com/collections/treccia-chene-semi-massif-naturalizzato/
Panneaux             ,Dalles Versace Chêne  Semi-Massif Sanibell               ,259.9€ HT/m²     ,Ref: 02060210000  ,https://venessens-parquet.com/collections/dalles-versace-chene-semi-massif-grigio/
Sol Stratifié        ,Sol Stratifié Olympe                                     ,29.9€ HT/m²      ,Ref: 06034003001  ,https://venessens-parquet.com/collections/sol-stratifie-olympe-2/
Sol Stratifié        ,Sol Stratifié Canaries                                   ,29.9€ HT/m²      ,Ref: 06034003002  ,https://venessens-parquet.com/collections/sol-stratifie-canaries-2/
Panneaux             ,Dalles Versace Chêne  Semi-Massif Naturalizzato          ,249.9€ HT/m²     ,Ref: 02060210003  ,https://venessens-parquet.com/collections/dalles-versace-chene-semi-massif-naturalizzato/
Sol Stratifié        ,Sol Stratifié Polaire                                    ,29.9€ HT/m²      ,Ref: 06012612125  ,https://venessens-parquet.com/collections/sol-stratifie-polaire/
Sol Stratifié        ,Sol Stratifié Sardaigne                                  ,29.9€ HT/m²      ,Ref: 06034003000  ,https://venessens-parquet.com/collections/sol-stratifie-sardaigne-2/
Style Français       ,Point de Hongrie Chêne Semi-Massif Venezia               ,139.9€ HT/m²     ,Ref: 02070115164  ,https://venessens-parquet.com/collections/point-de-hongrie-chene-semi-massif-venezia/
Style Français       ,Point de Hongrie Chêne Semi-Massif Firenze               ,139.9€ HT/m²     ,Ref: 02070115162  ,https://venessens-parquet.com/collections/point-de-hongrie-chene-semi-massif-firenze/
Style Français       ,Point de Hongrie Chêne Semi-Massif Sanibell              ,139.9€ HT/m²     ,Ref: 02070115161  ,https://venessens-parquet.com/collections/point-de-hongrie-chene-semi-massif-grigio/
Style Français       ,Point de Hongrie Semi-Massif Griveline                   ,129.9€ HT/m²     ,Ref: 03030406121  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-griveline-2/
Style Français       ,Point de Hongrie Semi-Massif Haussmann                   ,129.9€ HT/m²     ,Ref: 03030305098  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-haussmann-2/
Style Français       ,Point de Hongrie Semi-Massif Savane                      ,129.9€ HT/m²     ,Ref: 03030305096  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-savane-2/
Style Français       ,Point de Hongrie Semi-Massif Naturel                     ,129.9€ HT/m²     ,Ref: 03030305097  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-naturel-2/
Style Français       ,Point de Hongrie Semi-Massif Griveline                   ,129.9€ HT/m²     ,Ref: 03030305094  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-griveline/
Style Français       ,Point de Hongrie Semi-Massif Aspect Brut                 ,129.9€ HT/m²     ,Ref: 03030305091  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-aspect-brut/
Style Français       ,Point de Hongrie Semi-Massif Javeline                    ,129.9€ HT/m²     ,Ref: 03030305090  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-javeline/
Style Français       ,Point de Hongrie Chêne Semi-Massif Naturalizzato         ,129.9€ HT/m²     ,Ref: 02070115165  ,https://venessens-parquet.com/collections/point-de-hongrie-chene-semi-massif-naturalizzato/
Style Français       ,Point de Hongrie Semi-Massif Savane                      ,129.9€ HT/m²     ,Ref: 03030305093  ,https://venessens-parquet.com/collections/point-de-hongrie-semi-massif-savane/
Style Français       ,Point de Hongrie Chêne Semi-Massif Perle Huilé           ,129.9€ HT/m²     ,Ref: 05040108090  ,https://venessens-parquet.com/collections/point-de-hongrie-chene-semi-massif-perle-huile/
Style Français       ,Point de Hongrie Chêne Semi-Massif Naturel Verni         ,129.9€ HT/m²     ,Ref: 05040107090  ,https://venessens-parquet.com/collections/point-de-hongrie-chene-semi-massif-naturel-verni/
Sol Stratifié        ,Sol Stratifié Olympe                                     ,29.9€ HT/m²      ,Ref: 06012612124  ,https://venessens-parquet.com/collections/sol-stratifie-olympe/
Style Français       ,Bâton Rompu Chêne Semi-Massif Naturel                    ,129.9€ HT/m²     ,Ref: 05050101026  ,https://venessens-parquet.com/collections/baton-rompu-chene-semi-massif-naturel/
Style Français       ,Point de Hongrie Chêne Semi-Massif Gustav                ,219.9€ HT/m²     ,Ref: 02070118191  ,https://venessens-parquet.com/collections/point-de-hongrie-chene-semi-massif-gustav/
